State Annual Winter Summer Monsoon Postmonsoon,
Andaman & Nicobar No trend +0.01 No trend No trend No trend,
Andhra Pradesh +0.01* +0.01 No trend +0.01* +0.01,
Arunachal Pradesh +0.02* +0.02* +0.02* +0.01* +0.02*,
Assam +0.01* +0.02* +0.01* +0.01* +0.02*,
Bihar +0.02* +0.02* +0.01* No trend +0.02*,
Chhattisgarh -0.01* -0.01* -0.02* -0.01* No trend,
Delhi +0.02* +0.02* +0.02* +0.01* +0.02*,
Goa No trend -0.01* -0.01* +0.01* +0.01*,
Gujarat +0.02* +0.03* +0.02* +0.01* +0.03*,
Haryana +0.01* +0.02* +0.02* -0.01 +0.01,
Himachal Pradesh -0.01 -0.02 -0.03* No trend -0.03*,
Jammu & Kashmir -0.01 No trend -0.02 -0.03* -0.03*,
Jharkhand No trend No trend No trend No trend +0.01,
Karnataka No trend -0.01 -0.01* No trend No trend,
Kerala +0.01* +0.01 No trend No trend +0.01*,
Lakshadweep +0.01* +0.02* +0.01* No trend +0.01*,
Madhya Pradesh No trend No trend No trend -0.01* +0.03*,
Maharashtra No trend No trend -0.01 No trend +0.01,
Manipur +0.02* +0.03* +0.03* +0.02* +0.03*,
Meghalaya +0.01* +0.02* No trend +0.01 +0.02*,
Mizoram No trend No trend -0.01* No trend No trend,
Orissa,-0.02
Punjab,-0.01
Rajasthan,0.01
Sikkim,0.07
Tamil Nadu,0.02
Tripura,0.02
Uttar Pradesh,0
Uttarakhand ,-0.03
West Bengal,0
